[15:01:20.1540][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.1676][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2166][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2226][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2297][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2367][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2437][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2527][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2597][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2667][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2797][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2827][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2867][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2887][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2907][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2927][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2937][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2947][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2967][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2977][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.2997][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3007][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3017][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3027][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3037][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3172][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3182][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3202][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3212][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3222][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3242][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3252][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3262][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3272][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3282][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3302][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3312][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3322][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3332][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3352][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3362][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3372][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3382][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
