[10:13:31.3407][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.1952][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.2143][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.2456][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.2765][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.3080][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.3395][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.3707][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.4024][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.4330][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.4643][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.4947][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.5260][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.5568][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.5875][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.6184][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.6482][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.6802][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.7135][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.7429][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.7738][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.8046][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.8356][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.8666][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.8971][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.9282][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.9586][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:36.9889][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:37.0198][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:37.0498][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:37.0807][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:37.1111][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:37.1423][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
